Month,Ridership ('000)
Jan-91,1709
Feb-91,1621
Mar-91,1973
Apr-91,1812
May-91,1975
Jun-91,1862
Jul-91,1940
Aug-91,2013
Sep-91,1596
Oct-91,1725
Nov-91,1676
Dec-91,1814
Jan-92,1615
Feb-92,1557
Mar-92,1891
Apr-92,1956
May-92,1885
Jun-92,1623
Jul-92,1903
Aug-92,1997
Sep-92,1704
Oct-92,1810
Nov-92,1862
Dec-92,1875
Jan-93,1705
Feb-93,1619
Mar-93,1837
Apr-93,1957
May-93,1917
Jun-93,1882
Jul-93,1933
Aug-93,1996
Sep-93,1673
Oct-93,1753
Nov-93,1720
Dec-93,1734
Jan-94,1563
Feb-94,1574
Mar-94,1903
Apr-94,1834
May-94,1831
Jun-94,1776
Jul-94,1868
Aug-94,1907
Sep-94,1686
Oct-94,1779
Nov-94,1776
Dec-94,1783
Jan-95,1548
Feb-95,1497
Mar-95,1798
Apr-95,1733
May-95,1772
Jun-95,1761
Jul-95,1792
Aug-95,1875
Sep-95,1571
Oct-95,1647
Nov-95,1673
Dec-95,1657
Jan-96,1382
Feb-96,1361
Mar-96,1559
Apr-96,1608
May-96,1697
Jun-96,1693
Jul-96,1836
Aug-96,1943
Sep-96,1551
Oct-96,1687
Nov-96,1576
Dec-96,1700
Jan-97,1397
Feb-97,1372
Mar-97,1708
Apr-97,1655
May-97,1763
Jun-97,1776
Jul-97,1934
Aug-97,2008
Sep-97,1616
Oct-97,1774
Nov-97,1732
Dec-97,1797
Jan-98,1570
Feb-98,1413
Mar-98,1755
Apr-98,1825
May-98,1843
Jun-98,1826
Jul-98,1968
Aug-98,1922
Sep-98,1670
Oct-98,1791
Nov-98,1817
Dec-98,1847
Jan-99,1599
Feb-99,1549
Mar-99,1832
Apr-99,1840
May-99,1846
Jun-99,1865
Jul-99,1966
Aug-99,1949
Sep-99,1607
Oct-99,1804
Nov-99,1850
Dec-99,1836
Jan-00,1542
Feb-00,1617
Mar-00,1920
Apr-00,1971
May-00,1992
Jun-00,2010
Jul-00,2054
Aug-00,2097
Sep-00,1824
Oct-00,1977
Nov-00,1981
Dec-00,2000
1-Jan,1683
1-Feb,1663
1-Mar,2008
1-Apr,2024
1-May,2047
1-Jun,2073
1-Jul,2127
1-Aug,2203
1-Sep,1708
1-Oct,1951
1-Nov,1974
1-Dec,1985
2-Jan,1760
2-Feb,1771
2-Mar,2020
2-Apr,2048
2-May,2069
2-Jun,1994
2-Jul,2075
2-Aug,2027
2-Sep,1734
2-Oct,1917
2-Nov,1858
2-Dec,1996
3-Jan,1778
3-Feb,1749
3-Mar,2066
3-Apr,2099
3-May,2105
3-Jun,2130
3-Jul,2223
3-Aug,2174
3-Sep,1931
3-Oct,2121
3-Nov,2076
3-Dec,2141
4-Jan,1832
4-Feb,1838
4-Mar,2132
