Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,t,t_squared
4-Apr,0,0,0,1,0,0,0,0,0,0,0,0,160,25600
4-May,0,0,0,0,1,0,0,0,0,0,0,0,161,25921
4-Jun,0,0,0,0,0,1,0,0,0,0,0,0,162,26244
4-Jul,0,0,0,0,0,0,1,0,0,0,0,0,163,26569
4-Aug,0,0,0,0,0,0,0,1,0,0,0,0,164,26896
4-Sep,0,0,0,0,0,0,0,0,1,0,0,0,165,27225
4-Oct,0,0,0,0,0,0,0,0,0,1,0,0,166,27556
4-Nov,0,0,0,0,0,0,0,0,0,0,1,0,167,27889
4-Dec,0,0,0,0,0,0,0,0,0,0,0,1,168,28224
5-Jan,1,0,0,0,0,0,0,0,0,0,0,0,169,28561
5-Feb,0,1,0,0,0,0,0,0,0,0,0,0,170,28900
5-Mar,0,0,1,0,0,0,0,0,0,0,0,0,171,29241
